

,"AMAZON.COM, INC."
,,,,Supplemental Financial Information and Business Metrics
,,"(in millions, except employee data)"
,(unaudited)
,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Change
,,,,,,,Y/Y %
Net Sales
Online stores (1),"$ 64,531","$ 51,096","$ 52,966","$ 57,267","$ 70,543","$ 54,670",7 %
"Online stores -- Y/Y growth, excluding F/X",2 %,3 %,5 %,6 %,8 %,7 %,N/A
Physical stores (2),"$  4,957","$  4,895","$  5,024","$  4,959","$  5,152","$  5,202",6 %
"Physical stores -- Y/Y growth, excluding F/X",6 %,7 %,7 %,6 %,4 %,6 %,N/A
Third-party seller services (3),"$ 36,339","$ 29,820","$ 32,332","$ 34,342","$ 43,559","$ 34,596",16 %
"Third-party seller services -- Y/Y growth, excluding F/X",24 %,20 %,18 %,18 %,19 %,16 %,N/A
Advertising services (4),"$ 11,557","$  9,509","$ 10,683","$ 12,060","$ 14,654","$ 11,824",24 %
"Advertising services -- Y/Y growth, excluding F/X",23 %,23 %,22 %,25 %,26 %,24 %,N/A
Subscription services (5),"$  9,189","$  9,657","$  9,894","$ 10,170","$ 10,488","$ 10,722",11 %
"Subscription services -- Y/Y growth, excluding F/X",17 %,17 %,14 %,13 %,13 %,11 %,N/A
AWS,"$ 21,378","$ 21,354","$ 22,140","$ 23,059","$ 24,204","$ 25,037",17 %
"AWS -- Y/Y growth, excluding F/X",20 %,16 %,12 %,12 %,13 %,17 %,N/A
Other (6),"$  1,253","$  1,027","$  1,344","$  1,226","$  1,361","$  1,262",23 %
"Other -- Y/Y growth (decline), excluding F/X",80 %,57 %,26 %,(3) %,8 %,23 %,N/A
Stock-based Compensation Expense
Cost of sales,$  208,$  165,$  251,$  193,$  227,$  174,6 %
Fulfillment,$  757,$  603,$  932,$  732,$  823,$  636,5 %
Technology and infrastructure,"$  3,126","$  2,574","$  4,043","$  3,284","$  3,533","$  2,772",8 %
Sales and marketing,"$  1,092",$  993,"$  1,303","$  1,111","$  1,216",$  932,(6) %
General and administrative,$  423,$  413,$  598,$  509,$  520,$  447,8 %
Total stock-based compensation expense,"$  5,606","$  4,748","$  7,127","$  5,829","$  6,319","$  4,961",4 %
Other
WW shipping costs,"$ 24,714","$ 19,937","$ 20,418","$ 21,799","$ 27,326","$ 21,834",10 %
WW shipping costs -- Y/Y growth,4 %,2 %,6 %,9 %,11 %,10 %,N/A
WW paid units -- Y/Y growth (7),8 %,8 %,9 %,9 %,12 %,12 %,N/A
WW seller unit mix -- % of WW paid units (7),59 %,59 %,60 %,60 %,61 %,61 %,N/A
Employees (full-time and part-time; excludes contractors & temporary personnel),"1,541,000","1,465,000","1,461,000","1,500,000","1,525,000","1,521,000",4 %
,,Employees (full-time and part-time; excludes contractors & temporary personnel) -- Y/Y
growth (decline),(4) %,(10) %,(4) %,(3) %,(1) %,4 %,N/A
""
