

,"AMAZON.COM, INC."
,,,,Supplemental Financial Information and Business Metrics
,(in millions)
,(unaudited)
,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Change
,,,,,,,Y/Y %
Segments
North America Segment:
Net sales,"$ 93,363","$ 76,881","$ 82,546","$ 87,887","$ 105,514","$ 86,341",12 %
"Net sales -- Y/Y growth, excluding F/X",14 %,11 %,11 %,11 %,13 %,12 %,N/A
Net sales -- TTM,"$ 315,880","$ 323,517","$ 331,633","$ 340,677","$ 352,828","$ 362,288",12 %
Operating income (loss),$  (240),$  898,"$  3,211","$  4,307","$  6,461","$  4,983",455 %
F/X impact -- favorable (unfavorable),$  76,$,41 $,(7),$  (27),$  (13)
"Operating income (loss) -- Y/Y growth, excluding F/X",53 %,N/A,N/A,N/A,N/A,454 %,N/A
Operating margin -- % of North America net sales,(0.3) %,1.2 %,3.9 %,4.9 %,6.1 %,5.8 %,N/A
Operating income (loss) -- TTM,"$  (2,847)",$  (381),"$  3,457","$  8,176","$ 14,877","$ 18,962",N/A
Operating margin -- TTM % of North America net sales,(0.9) %,(0.1) %,1.0 %,2.4 %,4.2 %,5.2 %,N/A
International Segment:
Net sales,"$ 34,463","$ 29,123","$ 29,697","$ 32,137","$ 40,243","$ 31,935",10 %
"Net sales -- Y/Y growth, excluding F/X",5 %,9 %,10 %,11 %,13 %,11 %,N/A
Net sales -- TTM,"$ 118,007","$ 118,371","$ 121,003","$ 125,420","$ 131,200","$ 134,012",13 %
Operating income (loss),"$  (2,228)","$  (1,247)",$  (895),$  (95),$  (419),$  903
F/X impact -- favorable (unfavorable),$  (331),$  (174),$  32,$  228,$  160,$  (3)
"Operating income (loss) -- Y/Y growth (decline), excluding F/X",17 %,(16) %,(48) %,(87) %,(74) %,N/A,N/A
Operating margin -- % of International net sales,(6.5) %,(4.3) %,(3.0) %,(0.3) %,(1.0) %,2.8 %,N/A
Operating loss -- TTM,"$  (7,746)","$  (7,712)","$  (6,836)","$  (4,465)","$  (2,656)",$  (506),(93) %
Operating margin -- TTM % of International net sales,(6.6) %,(6.5) %,(5.6) %,(3.6) %,(2.0) %,(0.4) %,N/A
AWS Segment:
Net sales,"$ 21,378","$ 21,354","$ 22,140","$ 23,059","$ 24,204","$ 25,037",17 %
"Net sales -- Y/Y growth, excluding F/X",20 %,16 %,12 %,12 %,13 %,17 %,N/A
Net sales -- TTM,"$ 80,096","$ 83,009","$ 85,410","$ 87,931","$ 90,757","$ 94,440",14 %
Operating income,"$  5,205","$  5,123","$  5,365","$  6,976","$  7,167","$  9,421",84 %
F/X impact -- favorable (unfavorable),$  468,$  272,$  79,$,(69) $,(62)
"Operating income -- Y/Y growth (decline), excluding F/X",(10) %,(26) %,(8) %,30 %,39 %,83 %,N/A
Operating margin -- % of AWS net sales,24.3 %,24.0 %,24.2 %,30.3 %,29.6 %,37.6 %,N/A
Operating income -- TTM,"$ 22,841","$ 21,446","$ 21,096","$ 22,669","$ 24,631","$ 28,929",
