sney+,Unnamed: 0,Unnamed: 1,Unnamed: 2
Domestic (U.S. and Canada) 46.1,46.5,,(1) %
International (excluding Disney+ Hotstar)(1) 65.2,66.1,,(1) %
Disney+ Core(2) 111.3,112.6,,(1) %
Disney+ Hotstar 38.3,37.6,,2 %
lu,,,
SVOD Only 45.1,43.9,,3 %
Live TV + SVOD 4.6,4.6,,— %
Total Hulu(2) 49.7,48.5,,2 %
Average Monthly Revenue Per Paid Subscriber(1) for the quarter ended:,,,
"December 30,","September 30,",,
2023,2023,,Change
sney+,,,
Domestic (U.S. and Canada) $ 8.15,$ 7.50,,9 %
International (excluding Disney+ Hotstar)(1) 5.91,6.10,,(3) %
Disney+ Core 6.84,6.70,,2 %
Disney+ Hotstar 1.28,0.70,,83 %
lu,,,
SVOD Only 12.29,12.11,,1 %
Live TV + SVOD 93.61,90.08,,4 %
