Unnamed: 0,"December 30,","December 31,",Unnamed: 1
($ in millions),2023,2022,Change
Income before income taxes,"$ 2,871","$ 1,773",62 %
Add (subtract):,,,
Corporate and unallocated shared expenses,308,280,(10) %
Restructuring and impairment charges,—,69,100 %
"Other expense, net",—,42,100 %
"Interest expense, net",246,300,18 %
Amortization of TFCF and Hulu intangible assets and fair value,,,
step-up on film and television costs,451,579,22 %
Total segment operating income,"$ 3,876","$ 3,043",27 %
