Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
(Dollars in thousands),,,,,
,Q1’24,Q4’23,Q3’23,Q2’23,Q1’23
United States,"$ 17,733","$ 22,708","$ 24,477","$ 22,339","$ 23,274"
% of Total,43%,55%,58%,54%,57%
Japan,"$ 11,288","$ 2,460","$ 3,135","$ 2,593","$ 2,277"
% of Total,27%,6%,7%,6%,6%
China,"$ 4,853","$ 4,562","$ 7,549","$ 7,421","$ 6,956"
% of Total,12%,11%,18%,18%,17%
Rest of the world,"$ 7,436","$ 11,395","$ 7,189","$ 9,248","$ 8,252"
% of Total,18%,28%,17%,22%,20%
Total revenues,"$ 41,310","$ 41,125","$ 42,350","$ 41,601","$ 40,759"
